timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3,thermistor
1729319889.5851362,766.3736,775.2381,800.2198,793.36993,nan,nan,,,,,,,,,,
1729319889.5868759,,,,,,,,,,,,,nan,263477810.0,nan,
1729319889.5890381,764.35895,784.90845,795.78754,792.1612,nan,nan,,,,,,,,,,
1729319889.5915213,,,,,,,-0.37561035,0.036743164,0.934021,,,,,,,
1729319889.5929401,790.9524,790.14655,798.20514,797.3993,nan,nan,,,,,,,,,,
1729319889.5954218,,,,,,,,,,1581098.9,1583516.5,,,,,
1729319889.5968421,790.14655,782.49084,798.20514,791.3553,nan,nan,,,,,,,,,,
1729319889.6007440,782.49084,782.0879,796.1905,787.72894,nan,nan,,,,,,,,,,
1729319889.6024861,,,,,,,,,,,,,nan,263470540.0,nan,
1729319889.6046462,765.16486,779.2674,792.1612,787.326,nan,nan,,,,,,,,,,
1729319889.6085482,757.1062,773.6264,787.326,788.5348,nan,nan,,,,,,,,,,
1729319889.6100438,,,,,,,-0.37200928,0.043945312,0.9250488,,,,,,,
1729319889.6124501,766.77655,770.40295,784.90845,791.3553,nan,nan,,,,,,,,,,
1729319889.6163521,765.56775,771.6117,787.326,790.9524,nan,nan,,,,,,,,,,
1729319889.6180961,,,,,,,,,,,,,nan,263483440.0,nan,
1729319889.6202540,763.1502,775.2381,792.5641,788.93774,nan,nan,,,,,,,,,,
1729319889.6241562,752.27106,775.64105,791.75824,780.87915,nan,nan,,,,,,,,,,
1729319889.6280582,748.24176,778.86444,787.326,784.10254,nan,nan,,,,,,,,,,
1729319889.6285665,,,,,,,-0.37194824,0.038757324,0.9259033,,,,,,,
1729319889.6304321,,,,,,,,,,1581098.9,1583516.5,,,,,
1729319889.6319602,769.59705,778.46155,785.31134,797.8022,nan,nan,,,,,,,,,,
1729319889.6337063,,,,,,,,,,,,,nan,263465710.0,nan,
1729319889.6358621,778.46155,777.25275,788.1319,792.5641,nan,nan,,,,,,,,,,
1729319889.6397641,771.2088,774.43225,788.1319,780.07324,nan,nan,,,,,,,,,,
1729319889.6436660,757.50916,767.1795,785.31134,776.4469,nan,nan,,,,,,,,,,
1729319889.6470892,,,,,,,-0.37164307,0.03967285,0.9319458,,,,,,,
1729319889.6475682,755.4945,770.0,786.52014,776.4469,nan,nan,,,,,,,,,,
1729319889.6493165,,,,,,,,,,,,,nan,263450400.0,nan,
1729319889.6514702,774.83514,773.22345,786.9231,782.8938,nan,nan,,,,,,,,,,
1729319889.6553721,783.69965,778.0586,780.07324,790.9524,nan,nan,,,,,,,,,,
1729319889.6592741,781.685,789.34064,779.2674,798.20514,nan,nan,,,,,,,,,,
1729319889.6631761,766.77655,780.87915,785.31134,789.7436,nan,nan,,,,,,,,,,
1729319889.6649268,,,,,,,,,,,,,nan,263430260.0,nan,
1729319889.6654425,,,,,,,,,,1581098.9,1583516.5,,,,,
1729319889.6656120,,,,,,,-0.37182617,0.04119873,0.93304443,,,,,,,
1729319889.6670780,754.68866,775.2381,780.4762,773.6264,nan,nan,,,,,,,,,,
1729319889.6709802,776.8498,785.7143,781.685,778.0586,nan,nan,,,,,,,,,,
1729319889.6748822,792.96704,787.326,789.34064,792.5641,nan,nan,,,,,,,,,,
1729319889.6787841,787.72894,787.326,791.75824,793.7729,nan,nan,,,,,,,,,,
1729319889.6805370,,,,,,,,,,,,,nan,263414140.0,nan,
1729319889.6826861,777.25275,786.9231,788.93774,789.34064,nan,nan,,,,,,,,,,
1729319889.6841345,,,,,,,-0.3682251,0.0435791,0.9356079,,,,,,,
1729319889.6865880,775.2381,794.17584,789.34064,791.75824,nan,nan,,,,,,,,,,
1729319889.6904902,788.5348,797.3993,786.52014,789.34064,nan,nan,,,,,,,,,,
1729319889.6943922,797.8022,792.1612,783.2967,783.2967,nan,nan,,,,,,,,,,
1729319889.6961472,,,,,,,,,,,,,nan,263463300.0,nan,
1729319889.6982942,797.3993,789.7436,788.93774,788.1319,nan,nan,,,,,,,,,,
1729319889.7004526,,,,,,,,,,1581098.9,1583516.5,,,,,
1729319889.7021961,781.28204,780.07324,790.14655,787.72894,nan,nan,,,,,,,,,,
1729319889.7026572,,,,,,,-0.37524414,0.038024902,0.9310913,,,,,,,
1729319889.7060981,761.9414,775.64105,790.54944,784.10254,nan,nan,,,,,,,,,,
1729319889.7100000,775.64105,785.7143,792.1612,793.36993,nan,nan,,,,,,,,,,
1729319889.7117572,,,,,,,,,,,,,nan,263442350.0,nan,
1729319889.7139022,790.9524,786.9231,789.34064,794.17584,nan,nan,,,,,,,,,,
1729319889.7178042,792.5641,786.52014,786.52014,794.9817,nan,nan,,,,,,,,,,
1729319889.7211800,,,,,,,-0.37438965,0.037841797,0.93200684,,,,,,,
1729319889.7217062,790.14655,789.7436,786.52014,796.5934,nan,nan,,,,,,,,,,
1729319889.7256081,772.4176,784.10254,786.1172,784.5055,nan,nan,,,,,,,,,,
1729319889.7273674,,,,,,,,,,,,,nan,263434290.0,nan,
1729319889.7295101,776.04395,788.93774,787.326,788.1319,nan,nan,,,,,,,,,,
1729319889.7334120,790.9524,790.54944,792.96704,795.38464,nan,nan,,,,,,,,,,
1729319889.7354629,,,,,,,,,,1581098.9,1583516.5,,,,,
1729319889.7373142,786.52014,786.1172,797.3993,795.38464,nan,nan,,,,,,,,,,
1729319889.7397025,,,,,,,-0.37365723,0.036132812,0.93151855,,,,,,,
1729319889.7412162,776.8498,778.46155,789.7436,785.31134,nan,nan,,,,,,,,,,
1729319889.7429776,,,,,,,,,,,,,nan,263426220.0,nan,
1729319889.7451181,763.1502,771.6117,784.10254,770.80585,nan,nan,,,,,,,,,,
1729319889.7490201,769.19415,778.86444,782.49084,770.40295,nan,nan,,,,,,,,,,
1729319889.7529221,784.5055,785.7143,778.86444,776.4469,nan,nan,,,,,,,,,,
1729319889.7568243,786.9231,785.7143,782.0879,783.69965,nan,nan,,,,,,,,,,
1729319889.7582252,,,,,,,-0.37072754,0.041015625,0.9302368,,,,,,,
1729319889.7585878,,,,,,,,,,,,,nan,263410110.0,nan,
1729319889.7607262,785.31134,784.5055,786.1172,787.72894,nan,nan,,,,,,,,,,
1729319889.7646282,773.6264,781.28204,786.9231,786.52014,nan,nan,,,,,,,,,,
1729319889.7685301,774.43225,783.2967,784.5055,791.75824,nan,nan,,,,,,,,,,
1729319889.7704730,,,,,,,,,,1581098.9,1583516.5,,,,,
1729319889.7724321,787.326,787.72894,779.2674,799.81683,nan,nan,,,,,,,,,,
1729319889.7741981,,,,,,,,,,,,,nan,263422190.0,nan,
1729319889.7763340,794.57874,790.14655,784.90845,798.20514,nan,nan,,,,,,,,,,
1729319889.7767479,,,,,,,-0.3779297,0.037963867,0.92681885,,,,,,,
1729319889.7802362,791.75824,793.7729,792.96704,795.38464,nan,nan,,,,,,,,,,
1729319889.7841382,772.8205,788.5348,788.5348,795.78754,nan,nan,,,,,,,,,,
1729319889.7880402,770.40295,780.87915,791.75824,792.1612,nan,nan,,,,,,,,,,
1729319889.7898083,,,,,,,,,,,,,nan,263455230.0,nan,
1729319889.7919421,790.54944,774.43225,794.57874,792.96704,nan,nan,,,,,,,,,,
1729319889.7952707,,,,,,,-0.3762207,0.043884277,0.92785645,,,,,,,
1729319889.7958441,794.17584,771.6117,785.7143,789.34064,nan,nan,,,,,,,,,,
1729319889.7997460,781.685,772.8205,778.0586,790.54944,nan,nan,,,,,,,,,,
1729319889.8036482,765.16486,774.0293,776.8498,792.5641,nan,nan,,,,,,,,,,
1729319889.8054183,,,,,,,,,,,,,nan,263435900.0,nan,
1729319889.8054833,,,,,,,,,,1581098.9,1583516.5,,,,,
1729319889.8075502,767.5824,784.90845,778.86444,794.57874,nan,nan,,,,,,,,,,
1729319889.8114522,787.326,794.17584,776.8498,801.8315,nan,nan,,,,,,,,,,
1729319889.8137932,,,,,,,-0.3725586,0.04107666,0.9295044,,,,,,,
1729319889.8153541,793.36993,792.5641,783.69965,802.23444,nan,nan,,,,,,,,,,
1729319889.8192561,786.52014,791.3553,791.3553,798.60803,nan,nan,,,,,,,,,,
1729319889.8210285,,,,,,,,,,,,,nan,263420590.0,nan,
1729319889.8231583,763.5531,783.2967,781.685,786.52014,nan,nan,,,,,,,,,,
1729319889.8270602,750.65936,780.4762,780.07324,784.90845,nan,nan,,,,,,,,,,
1729319889.8309622,764.35895,783.69965,783.69965,788.93774,nan,nan,,,,,,,,,,
1729319889.8323159,,,,,,,-0.37054443,0.04095459,0.92559814,,,,,,,
1729319889.8348641,773.6264,780.07324,780.4762,786.1172,nan,nan,,,,,,,,,,
1729319889.8366387,,,,,,,,,,,,,nan,263464100.0,nan,
1729319889.8387661,780.07324,774.43225,780.07324,782.8938,nan,nan,,,,,,,,,,
1729319889.8404937,,,,,,,,,,1581098.9,1583516.5,,,,,
1729319889.8426681,771.6117,770.0,771.6117,776.8498,nan,nan,,,,,,,,,,
1729319889.8465703,760.7326,773.22345,766.77655,773.6264,nan,nan,,,,,,,,,,
1729319889.8504722,780.4762,787.72894,780.4762,778.0586,nan,nan,,,,,,,,,,
1729319889.8508387,,,,,,,-0.37329102,0.037597656,0.9321289,,,,,,,
1729319889.8522489,,,,,,,,,,,,,nan,263454430.0,nan,
1729319889.8543742,794.9817,790.14655,791.3553,784.5055,nan,nan,,,,,,,,,,
1729319889.8582761,793.7729,783.69965,791.3553,795.38464,nan,nan,,,,,,,,,,
1729319889.8621781,782.49084,783.69965,791.75824,803.44324,nan,nan,,,,,,,,,,
